price,freight_value,review_score,product_weight_g,customer_lat,customer_lng,Types of products,payment_value,seller_lat,seller_lng,volume,year,delivery_days,estimated_days
60.0,15.52,1,100.0,-30.04841850983909,-51.20840841355522,Fashion,151.04,-23.66148702746846,-46.56416174311855,2420.0,2018,5.0,21.0
369.0,17.33,4,394.0,-22.666330008859266,-43.259745491140734,Fashion,386.33,-21.36757068180344,-48.06270442872158,2618.0,2017,19.0,32.0
38.4,11.85,5,950.0,-23.02428824942083,-45.54083048929199,Furniture,50.25,-23.59798552039933,-46.55547278711988,14000.0,2017,4.0,20.0
119.9,8.78,5,400.0,-22.93125598447676,-43.17881321481337,Fashion,128.68,-22.827869999999997,-43.01969625000001,4693.0,2018,8.0,35.0
29.99,13.47,5,350.0,-23.598188486265773,-46.500497402995,Tools,43.46,-23.552512530494816,-51.46349357996916,8000.0,2018,3.0,24.0
22.99,22.85,1,150.0,-10.970164794304576,-37.061643830745815,Electronics,91.68,-23.58067325143878,-46.591568341608856,836.0,2018,25.0,24.0
84.9,14.36,1,1200.0,-22.865111251236048,-47.15255915401864,Furniture,99.26,-21.7664768468313,-48.83154737836604,18000.0,2017,24.0,17.0
113.0,28.15,5,5950.0,-23.666923378943824,-46.67197187894382,Fashion,141.15,-25.440714449910494,-49.188443906024766,48000.0,2017,6.0,23.0
79.9,11.76,4,949.0,-23.56180201082004,-46.47968149264242,Household,91.66,-23.489345713572614,-46.47738070858095,15600.0,2017,5.0,18.0
39.9,13.76,5,450.0,-15.78404999999995,-47.91689999999997,Fashion,53.66,-16.66317182695635,-49.3078833373604,3850.0,2018,5.0,10.0
299.0,18.34,5,1813.0,-23.0043086872296,-43.32450783783356,Fashion,317.34,-23.61424927422236,-46.68844105482136,10920.0,2017,7.0,20.0
27.9,15.1,4,150.0,-19.73499138466115,-47.93223994793665,Household,43.0,-23.112774381969185,-46.5488845105504,2873.0,2018,18.0,22.0
119.0,24.97,4,6550.0,-21.74014442714524,-43.36202484693288,Electronics,346.09,-20.944705621834668,-45.82709818233235,8000.0,2018,2.0,23.0
329.9,82.48,3,10000.0,-12.705754721441645,-41.830122157825066,Tools,824.76,-25.44384908076061,-49.25520561183576,18000.0,2018,10.0,38.0
24.89,15.1,4,125.0,-18.882476025535222,-48.2792850313636,Electronics,39.99,-15.840667480274698,-48.051942900348365,2380.0,2018,10.0,30.0
84.9,13.25,5,150.0,-23.536398271613997,-46.45955683703159,Electronics,392.6,-22.353122459390228,-49.0981396206503,1056.0,2018,4.0,25.0
42.99,12.03,5,1200.0,-22.63269209289212,-47.20099171014733,Tools,55.02,-23.0122137105142,-47.52203973160603,1936.0,2018,5.0,13.0
27.9,18.3,3,150.0,-26.25351566740153,-48.80168204279203,Household,46.2,-23.112774381969185,-46.5488845105504,2873.0,2018,9.0,18.0
50.0,9.34,5,500.0,-23.472004872323875,-46.60844051151254,Household,59.34,-22.995677703232374,-46.857106243157794,16920.0,2017,3.0,12.0
190.0,19.41,5,7350.0,-22.73306060560335,-47.17829082930352,Electronics,209.41,-21.152969235356927,-47.77227625506376,42000.0,2018,6.0,25.0
42.9,14.1,4,250.0,-23.53001209630836,-46.84894223601885,Fashion,57.0,-22.920104850395337,-43.22138202997862,2736.0,2018,9.0,20.0
69.9,14.66,5,500.0,-21.939113999999947,-44.11997899999997,Fashion,84.56,-22.886098638900197,-43.3108898963299,3200.0,2017,17.0,29.0
38.0,15.56,1,705.0,-24.984995373593296,-53.47775799446008,Household,267.8,-23.68080098473656,-46.6840241297536,20944.0,2017,20.0,22.0
56.99,15.84,5,400.0,-15.584669512986082,-56.10089206079052,Fashion,145.66,-23.665703457960586,-46.51808196779969,3960.0,2017,10.0,26.0
24.99,12.84,5,300.0,-21.1774515925616,-47.79583295337295,Electronics,37.83,-23.62358155176294,-46.61056007369148,816.0,2018,9.0,11.0
219.0,15.28,1,600.0,-29.6960435029035,-51.24351819389478,Fashion,227.2,-25.371298736141743,-49.18823376385825,2112.0,2017,7.0,22.0
93.0,7.91,4,350.0,-23.48535959449485,-46.624283978908174,Fashion,201.82,-23.651114842510157,-46.75521082321932,640.0,2018,3.0,4.0
19.99,7.78,3,100.0,-23.52756397931829,-46.36273674549973,Fashion,27.77,-23.665703457960586,-46.51808196779969,4500.0,2017,2.0,17.0
45.0,14.1,5,100.0,-15.73240143802808,-47.86277439289611,Electronics,59.1,-23.419753962259747,-46.95925190896761,528.0,2017,18.0,28.0
58.2,8.78,5,83.0,-19.878513898894187,-43.95694702879617,Fashion,66.98,-19.90514649708581,-43.95631225047614,1248.0,2017,5.0,21.0
110.99,21.27,3,1750.0,-29.94687511296093,-51.03326321732352,Household,132.26,-21.7664768468313,-48.83154737836604,16632.0,2017,9.0,23.0
38.5,24.84,4,950.0,-6.873733280094592,-36.91189865386837,Household,63.34,-21.7664768468313,-48.83154737836604,23625.0,2017,21.0,35.0
179.99,51.13,2,7417.0,-12.437923873440552,-39.12078904584024,Furniture,231.12,-23.48262344063541,-46.37448952833195,51612.0,2017,23.0,36.0
544.0,30.36,5,10600.0,-21.472572344386293,-46.74795423526378,Fashion,574.36,-23.56788988703906,-46.57394821510183,20280.0,2017,11.0,26.0
14.82,15.1,5,400.0,-26.2393934489566,-50.79774296701464,Household,29.92,-21.7664768468313,-48.83154737836604,6480.0,2017,13.0,26.0
394.9,14.89,4,813.0,-21.1894024299152,-47.79295570344507,Electronics,409.79,-23.377396999935016,-51.93100618003307,8192.0,2018,17.0,30.0
49.9,12.79,5,450.0,-23.494190060505503,-47.40954169025909,Fashion,62.69,-20.530671079410943,-47.39851931627846,2352.0,2018,10.0,25.0
89.18,16.38,5,750.0,-17.22966385941289,-44.43819257029356,Furniture,105.56,-23.540299470713855,-46.66278360519932,13125.0,2018,24.0,28.0
29.99,7.39,4,150.0,-23.74699524118531,-46.69558713405275,Electronics,37.38,-22.895876357204664,-47.0791850342778,1904.0,2018,3.0,15.0
58.99,17.66,5,200.0,-26.48257236390896,-51.9929615275,Fashion,76.65,-23.665703457960586,-46.51808196779969,3960.0,2017,21.0,24.0
98.44,22.4,1,200.0,-18.61808620081955,-43.56687815624905,Electronics,120.84,-23.377396999935016,-51.93100618003307,4096.0,2018,16.0,40.0
219.9,18.79,4,342.0,-26.920171924297723,-48.65785233328224,Fashion,238.69,-21.36235769739203,-48.232975701561735,3510.0,2017,20.0,33.0
759.0,13.08,5,475.0,-23.59677856702638,-46.41115888190316,Electronics,772.08,-23.533827411881795,-46.71294325200536,3332.0,2018,8.0,15.0
65.9,37.37,5,500.0,-5.520457245470628,-38.27143100905873,Fashion,103.27,-23.605673521784304,-46.618990239800326,7500.0,2018,14.0,24.0
10.9,12.79,5,200.0,-23.614284855675464,-46.64251185498296,Furniture,23.69,-21.858555070695942,-47.48403458197557,8000.0,2018,4.0,25.0
83.9,17.84,1,1500.0,-22.89603520399333,-43.32157651027179,Furniture,101.74,-21.7664768468313,-48.83154737836604,23625.0,2017,36.0,19.0
17.9,10.96,5,300.0,-23.1886382132707,-46.87453437279828,Household,22.03,-21.7664768468313,-48.83154737836604,600.0,2017,11.0,27.0
99.2,18.57,5,375.0,-26.25575668277037,-53.30855190722285,Household,117.77,-23.57022881903173,-46.78203873576096,8120.0,2018,13.0,48.0
160.0,12.14,5,1400.0,-23.98788982791853,-46.24777699362336,Household,172.14,-23.693985995008337,-46.70188324132953,13932.0,2018,2.0,4.0
29.9,12.69,5,2600.0,-24.149651009642906,-46.7480979001278,Fashion,42.59,-23.56788988703906,-46.57394821510183,9000.0,2017,6.0,20.0
13.99,7.39,5,200.0,-23.53558353710553,-46.88310044870239,Fashion,21.38,-23.584614569248075,-46.60193214931619,3750.0,2018,4.0,3.0
535.9,18.5,4,593.0,-29.765334960364797,-57.08632042334778,Fashion,554.4,-27.14294161449014,-48.50728684609616,6240.0,2018,8.0,25.0
69.9,26.11,4,12300.0,-23.201781118789317,-45.89567007799064,Furniture,96.01,-22.264093569966427,-46.15856420525942,64000.0,2018,10.0,29.0
235.99,17.41,2,4338.0,-19.4780955431646,-42.55679483097696,Fashion,253.4,-23.491791912543025,-46.94733309700014,2856.0,2017,11.0,24.0
19.9,8.72,1,350.0,-23.609943,-46.48136049610485,Household,28.62,-23.211714582578274,-46.8753760355472,2640.0,2017,3.0,19.0
25.99,14.1,1,500.0,-22.96974443607173,-42.9369057138687,Furniture,40.09,-23.62615314929649,-46.74691974117254,7680.0,2017,56.0,24.0
18.5,7.94,5,100.0,-22.99280667740874,-43.44828652055829,Fashion,26.44,-23.01133469499096,-43.45025641534424,2816.0,2018,1.0,18.0
49.9,16.54,5,450.0,-15.83927603063552,-47.97166282005243,Household,132.88,-19.91624655709342,-43.93623364096637,9375.0,2018,6.0,14.0
84.99,26.9,5,2200.0,-22.82696574686947,-43.30858851122407,Fashion,111.89,-24.011288218359883,-46.41873374429398,10580.0,2018,7.0,35.0
199.0,32.79,4,7750.0,-22.98536776591707,-44.30302379845107,Fashion,231.79,-26.89920664224707,-49.08352347071387,37026.0,2018,13.0,20.0
109.9,25.61,3,1975.0,-22.78559991084594,-43.3965861916314,Household,135.51,-21.7664768468313,-48.83154737836604,16523.0,2017,55.0,23.0
29.99,8.11,5,150.0,-30.018945290034058,-51.19805308050081,Fashion,38.1,-30.03215040714993,-51.2325516998384,4096.0,2017,1.0,18.0
59.9,14.13,5,7000.0,-23.59726551843778,-46.6055721090656,Household,74.03,-23.211714582578274,-46.8753760355472,32994.0,2017,2.0,13.0
42.9,15.1,1,267.0,-22.88248286955392,-43.0886607547753,Household,58.0,-23.08412527710581,-46.98121307089687,4320.0,2018,15.0,29.0
43.0,23.02,5,250.0,-5.735338840392046,-35.24790148261556,Fashion,66.02,-23.651114842510157,-46.75521082321932,640.0,2018,8.0,24.0
12.5,14.1,4,150.0,-22.95634609019567,-43.34674647224308,Fashion,53.2,-23.7622680628159,-46.46728047262276,9720.0,2018,21.0,22.0
179.9,8.41,3,2050.0,-20.506793628480604,-47.40773763671002,Household,518.39,-22.71683928585045,-47.65736585405934,8704.0,2018,7.0,34.0
59.9,18.25,4,2750.0,-23.72527983484343,-46.55702673772287,Furniture,78.15,-23.280367482796247,-51.188884291727966,21012.0,2018,12.0,22.0
69.99,14.58,5,1350.0,-23.512952943937883,-46.6083024672514,Household,84.57,-21.7664768468313,-48.83154737836604,24750.0,2018,6.0,15.0
129.6,25.4,1,2600.0,-6.4575497978493965,-36.20075397642021,Furniture,155.0,-23.48262344063541,-46.37448952833195,70200.0,2017,28.0,43.0
31.8,39.28,4,3450.0,-22.920104850395337,-43.22138202997862,Furniture,142.16,-23.59798552039933,-46.55547278711988,28175.0,2017,7.0,21.0
129.9,12.0,1,1550.0,-23.610375000000005,-46.57433099278665,Household,141.9,-22.71683928585045,-47.65736585405934,4692.0,2018,2.0,19.0
99.9,13.72,4,1500.0,-23.323581622627877,-46.571516434161296,Household,113.62,-21.7664768468313,-48.83154737836604,11232.0,2017,5.0,19.0
146.0,15.77,5,444.0,-25.421492943937885,-49.26920329863241,Fashion,161.77,-21.36757068180344,-48.06270442872158,4480.0,2017,7.0,23.0
39.49,8.27,5,100.0,-23.484567353309533,-46.72320475451552,Fashion,95.52,-24.011288218359883,-46.41873374429398,4368.0,2017,5.0,12.0
54.99,13.6,5,300.0,-22.403381937186253,-41.80967113254423,Household,68.59,-22.114931849301893,-43.20418377871129,1638.0,2018,11.0,22.0
89.99,16.39,1,250.0,-17.699026897975102,-42.50900651446246,Fashion,106.38,-23.665703457960586,-46.51808196779969,3960.0,2017,9.0,33.0
69.9,19.98,5,2267.0,-23.50902539056533,-46.77749182278458,Fashion,89.88,-25.34347077721826,-49.227809047574894,5148.0,2018,6.0,28.0
80.9,12.7,5,207.0,-25.41420518595992,-49.259492785590666,Electronics,187.2,-23.377396999935016,-51.93100618003307,2652.0,2018,8.0,30.0
110.32,8.03,5,150.0,-23.422664682209017,-46.433081147931205,Fashion,118.35,-22.887514996879027,-47.19573904628551,990.0,2018,8.0,12.0
91.99,6.75,5,600.0,-23.098863635889412,-46.54789512763439,Fashion,309.72,-23.667425878313043,-46.68567454056232,10800.0,2017,3.0,20.0
25.0,13.47,5,250.0,-20.65316386803938,-41.9094457747299,Household,38.47,-22.243203015748463,-45.71330344759827,1540.0,2018,7.0,27.0
259.9,53.01,5,18400.0,-23.05588544094924,-46.35910657270963,Fashion,312.91,-22.760477687572443,-47.41281121951772,134673.0,2017,7.0,18.0
39.0,12.79,5,5650.0,-22.6025864711492,-48.81247149518349,Household,51.79,-23.20706431353269,-46.760735214610754,12000.0,2018,8.0,19.0
104.9,4.39,1,350.0,-23.483826206996675,-46.8044683128608,Fashion,232.14,-23.6051651312828,-46.92504614654623,17500.0,2018,6.0,14.0
7.0,15.79,2,200.0,-15.942803976898665,-48.25304942148582,Fashion,22.79,-19.95866259017359,-44.19878943272789,2800.0,2017,8.0,28.0
49.9,17.6,1,1750.0,-21.776064097697496,-43.345038341941226,Tools,67.5,-20.80243626346376,-49.39562406741489,32560.0,2018,29.0,23.0
126.99,29.68,5,6150.0,-23.53017186184537,-45.85395965939973,Fashion,156.67,-23.97025376741302,-46.31830300014421,55680.0,2018,14.0,21.0
28.99,24.84,5,150.0,-3.013575251471184,-47.35681232674576,Electronics,53.83,-23.541941545934563,-46.49095488842404,1045.0,2017,16.0,33.0
281.99,17.73,5,800.0,-29.172729100166038,-51.20046833219573,Tools,299.72,-22.71683928585045,-47.65736585405934,3600.0,2017,11.0,30.0
45.0,7.39,5,200.0,-22.737278419931872,-47.31266995989381,Tools,314.34,-23.693985995008337,-46.70188324132953,4096.0,2018,4.0,10.0
89.49,8.39,5,353.0,-23.621298213976644,-46.61707660851753,Fashion,97.88,-23.746252526227707,-46.677001782820696,3456.0,2018,5.0,18.0
60.0,15.18,5,600.0,-25.43548786011886,-49.270213781291496,Household,75.18,-22.995677703232374,-46.857106243157794,6270.0,2017,15.0,23.0
49.99,25.66,5,200.0,-13.17889949438228,-53.2522357069531,Household,161.3,-21.76282506633389,-43.34295644532287,6318.0,2017,18.0,33.0
93.99,23.46,5,1800.0,-19.46290665413787,-45.60551787600606,Electronics,117.45,-23.46824404524207,-46.585030834727874,1827.0,2018,9.0,18.0
148.9,21.53,5,8350.0,-20.531151999894856,-47.43366787318517,Household,170.43,-26.270134671231133,-48.80876106346335,51300.0,2018,23.0,23.0
119.9,21.16,3,2100.0,-28.457425460271256,-52.81974698675991,Household,141.06,-23.28798077892242,-45.9570349350898,26085.0,2017,12.0,36.0
119.0,15.58,5,200.0,-27.531533999999947,-52.88902099999996,Household,134.58,-23.63329280322003,-46.73784151540766,2415.0,2017,8.0,24.0
48.0,11.85,5,200.0,-22.60405058635247,-48.795055606488425,Electronics,59.85,-21.17121748495008,-47.81941847157649,3360.0,2017,9.0,20.0
49.1,19.53,4,518.0,-23.277113936724533,-47.27658838802001,Tools,68.63,-29.15817748296765,-51.20612593982097,12673.0,2018,4.0,33.0
66.39,19.66,5,750.0,-25.45871651095423,-49.30218888165614,Household,86.05,-20.84380119949777,-49.36891118527178,2880.0,2018,4.0,23.0
39.9,24.84,4,800.0,-9.929099172563712,-63.055623758210544,Tools,64.74,-23.68011442853022,-46.4524537436668,9000.0,2017,14.0,36.0
49.9,17.6,4,1600.0,-15.656221567630755,-47.790259390660445,Furniture,67.5,-21.12574332854103,-42.92260482854105,6720.0,2017,14.0,32.0
199.0,16.14,5,342.0,-26.87609219920492,-49.11778268660643,Fashion,29.13,-21.36757068180344,-48.06270442872158,3456.0,2018,18.0,33.0
28.0,25.34,5,500.0,-23.38527609065766,-46.31301787468516,Electronics,126.67,-23.59978147599399,-46.73530029378497,10890.0,2018,4.0,33.0
229.9,55.69,5,9350.0,-23.560212773778616,-46.181769683134014,Fashion,285.59,-25.446647385196982,-49.55563586004068,44100.0,2018,5.0,12.0
117.3,28.2,4,4105.0,-13.497194999999945,-43.65124999999995,Electronics,145.5,-23.465304114698757,-46.51148732089968,44890.0,2017,21.0,29.0
35.9,7.39,5,264.0,-23.562275627243423,-46.77786620774424,Household,43.29,-23.58452319555432,-46.51460627909786,3808.0,2018,7.0,11.0
24.9,13.51,5,100.0,-23.510427444341925,-46.60117949988444,Electronics,38.41,-23.437975269077903,-51.91385959802448,1122.0,2018,8.0,29.0
98.7,12.19,5,150.0,-21.204108401787465,-50.45286394468003,Electronics,110.89,-22.32817929115924,-49.02886625465973,1104.0,2017,11.0,25.0
179.9,24.55,1,12700.0,-23.468540877604,-46.66436133472787,Furniture,204.45,-22.3970091627978,-46.94545202732525,67280.0,2018,8.0,13.0
99.9,9.45,5,750.0,-23.59726551843778,-46.6055721090656,Electronics,109.35,-23.53435725950717,-46.64935629739165,3388.0,2018,2.0,16.0
62.8,11.94,3,175.0,-22.268158575592278,-48.56480100713664,Household,74.74,-23.639620380229736,-46.50604149140166,3230.0,2017,5.0,16.0
45.0,11.86,2,1500.0,-23.495901469908656,-46.87468669635919,Electronics,56.86,-24.026786758814687,-46.49304889148245,19760.0,2018,5.0,11.0
80.0,17.81,5,1850.0,-18.87187599180023,-41.96017180764623,Fashion,97.81,-15.805754999999998,-47.96828099999999,19872.0,2018,10.0,33.0
109.9,23.35,5,9400.0,-23.98311872845792,-48.86902687341848,Household,133.25,-23.420739085916825,-51.41460369847018,56250.0,2018,12.0,28.0
159.0,21.95,5,3300.0,-25.425497629753597,-49.26880418595993,Household,180.95,-23.61411790980433,-46.60034800222169,54000.0,2017,13.0,24.0
410.0,35.32,4,2650.0,-10.87824536658774,-51.63245014478685,Electronics,445.32,-25.43585833749783,-49.22158276824976,18000.0,2018,22.0,33.0
37.99,14.52,5,150.0,-17.74069805141251,-46.175478354989366,Electronics,52.51,-23.541941545934563,-46.49095488842404,1520.0,2017,6.0,23.0
52.39,13.08,5,2450.0,-23.70689244546711,-46.69166124271453,Fashion,65.47,-23.51674732944774,-46.54818243075192,5760.0,2018,2.0,15.0
87.37,10.79,4,1100.0,-23.591391568699816,-46.66656196586642,Household,98.16,-23.6442788484621,-46.66304850360666,8320.0,2017,20.0,27.0
24.99,15.79,5,300.0,-15.65539434148428,-56.14312060925971,Electronics,40.78,-23.62358155176294,-46.61056007369148,816.0,2017,20.0,30.0
257.6,15.67,5,1550.0,-25.39226795392121,-49.2963977839172,Household,273.27,-26.882803470063276,-49.10761309562108,7038.0,2017,7.0,31.0
83.0,23.73,5,650.0,-21.12842778573488,-42.37999506994058,Electronics,106.73,-26.25413501236067,-48.87133423020441,2057.0,2018,11.0,20.0
159.99,27.2,3,3050.0,-23.49266694338963,-46.649278230509495,Household,187.19,-21.12574332854103,-42.92260482854105,27600.0,2018,10.0,22.0
179.9,15.01,5,450.0,-19.911644308904183,-43.97292042423106,Fashion,389.82,-22.92991227115403,-47.07189552530681,2760.0,2017,12.0,25.0
359.5,33.96,5,3400.0,-20.20211616541636,-40.27191860450682,Fashion,393.46,-16.69955774566663,-49.31646534449651,21978.0,2017,10.0,32.0
45.0,16.11,4,550.0,-29.52173138118189,-52.12635424346885,Electronics,122.22,-23.29818595956356,-45.974828011182304,13125.0,2017,12.0,33.0
679.0,19.85,2,605.0,-23.594918280599003,-46.5541035925616,Electronics,698.85,-22.88248286955392,-43.0886607547753,3584.0,2018,10.0,21.0
84.99,14.34,5,550.0,-22.96601266501233,-43.1783093037683,Fashion,99.33,-23.665703457960586,-46.51808196779969,5040.0,2017,9.0,26.0
49.99,8.29,4,250.0,-23.5547656072746,-46.94943508267261,Fashion,58.28,-23.665703457960586,-46.51808196779969,3360.0,2018,5.0,18.0
59.9,17.13,4,7000.0,-23.184985205666504,-46.82569758226659,Household,77.03,-23.211714582578274,-46.8753760355472,32994.0,2017,9.0,19.0
39.99,9.74,3,350.0,-29.242491345586405,-51.34917632592451,Electronics,49.73,-30.00731246906908,-51.19422244408211,6000.0,2018,9.0,13.0
69.9,0.0,2,2600.0,-27.64301988374891,-48.6725565749633,Furniture,139.8,-23.693985995008337,-46.70188324132953,15000.0,2018,8.0,29.0
69.9,16.46,4,800.0,-19.99881493904085,-44.06120361158952,Household,86.36,-23.489345713572614,-46.47738070858095,9800.0,2018,23.0,22.0
167.0,18.95,3,1450.0,-13.274054291201947,-50.16394639162946,Furniture,423.67,-23.699353075768943,-46.5600310818858,7776.0,2018,11.0,27.0
95.0,13.01,5,7700.0,-23.58453047821569,-46.62637174854291,Household,108.01,-23.20706431353269,-46.760735214610754,56980.0,2017,4.0,20.0
